Tipo de tarea,Intención,Socioestructura,Nombre de la tarea,Enlace Imagen,Imagen,Vídeo,Descripción de la tarea
Juego de conservación,Mantener / Evitar Mantener,2x2*,2vs2 +2 en rectángulo,https://drive.google.com/file/d/104eU3oGgpVBgfZcMDMvGTrC_z9xws_MC/view?usp=sharing,,https://drive.google.com/file/d/1jPhflmuKpbsGcshWGsN6riWxA68oRFD2/view?usp=sharing,"Posesión 2vs2 + 2 comodines en los fondos del rectángulo. Los comodines juegan a un toque y los jugadores interiores, tienen toque libre."
Juego de conservación,Mantener / Evitar Mantener,3x3*,3vs3 +3 en hexágono,https://drive.google.com/file/d/1T6U88zorQnoFszx2OBlGIRPC0UVvpfPn/view?usp=sharing,,https://drive.google.com/file/d/17LmEmyRa2QA8qFp1lP8qSDKagQQcso85/view?usp=sharing,Posesión 3vs3 + 3 en la cual los comodines cubren 3 lados del hexágono y los jugadores interiores tienen que leer los espacios que estos han dejado para combinar el juego por dentro o por fuera del hexágono.
Juego de conservación,Mantener / Evitar Mantener,3x3*,3vs3 +1+3 en círculo,https://drive.google.com/file/d/12Ke-HZG36WUWm5HTo8qFc0xAG6bzaCpB/view?usp=sharing,,https://drive.google.com/file/d/1UZ99U44J2JvA7RNRlu_rj4YKTMHsjwIg/view?usp=sharing,Posesión 3vs3 con 3 comodines exteriores y uno interior (juegan a un toque) con el objetivo de mantener la posesión. El equipo defensor tiene que intentar robar el balón y meterlo en las miniporterías colocadas alrededor del círculo (en menos de 2 pases) o iniciar una posesión (lo cual cambiaría los roles). Se incide en la liberación de la zona débil en defensa.
Situación de partido,Ataque de área llegando,1x1*,3vs3+1 y finalización,https://drive.google.com/file/d/1t-aF2TIVqBbTcrQ43Mr5x_33LrUWmNxq/view?usp=sharing,,https://drive.google.com/file/d/10k7Ik5hIGIIPjG-FrpW81gylcsod0-Hi/view?usp=sharing,"Finalizaciones 1vs1 que parten de un pase a dos de los jugadores que están realizando una posesión 3vs3 + 1 y que al escuchar su número, salen en búsqueda del balón para finalizar."
Juego de progresión,Progresar / Evitar Progresar,2x2*,Posesión 2vs2 + 1 + 2vs2,https://drive.google.com/file/d/1x_G3TSK61ok-FuHyvLE1dnKhyoMx5IzD/view?usp=sharing,,https://drive.google.com/file/d/1PFVQRfxdpDGz_qVB-f--UZXB8QhzUJRS/view?usp=sharing,"Posesión 2 vs 2 con un comodín interior que da superioridad y puede llevar el balón al otro 2vs2 que hay en otra mitad del rectángulo (también lo pueden echar los 2 que tenían el balón si alguno de los defensores que estaban esperando salta a por él y no le ha dado tiempo a perfilarse). 
En tu mitad de campo progresas hacia tus compañeros y en la otra mitad hay que atravesar la línea de fondo."
Juego de conservación,Mantener / Evitar Mantener,3x3*,Posesión 3vs3 + 2 exteriores,https://drive.google.com/file/d/1zU6OojYPrZLIN8iX6O56lvmP00q0y4WZ/view?usp=sharing,,https://drive.google.com/file/d/1CC4021BS9KsX6iwivfyi7SwbtTpIssJO/view?usp=sharing,"Juego de ubicación dentro de un rectángulo en la que un equipo tiene la posesión y cuenta con el apoyo de dos comodines que, preferentemente, ocupan espacios exteriores.
El equipo que defiende tiene que intentar robar el balón y sacarlo a los comodines antes de que el equipo que lo ha perdido, lo vuelva a recuperar (1 punto).
El equipo que tiene el balón puntúa si da 10 pases seguidos."
Juego de conservación,Mantener / Evitar Mantener,2x2*,Posesiones conjuntas en 2vs2 con comodines exteriores e interiores,https://drive.google.com/file/d/1R8K_2V05zJe6HGLVT9PDcmltg1-2rATu/view?usp=sharing,,https://drive.google.com/file/d/1ptAFmhQUg4DdpPYCnPeEPwVAucspGdbC/view?usp=sharing,"Posesión 2vs2 en 3 cuadrados con comodines exteriores e interiores que se van desplazando para ir generando la superioridad en los distintos cuadrados.
También hay jugadores de cada equipo que tienen que cambiarse de cuadrado cuando esta va a uno en el que solo hay 1vs1.
Se puntúa mediante la acumulación de pases o la consecución de paredes.
"
Juego de conservación,Mantener / Evitar Mantener,3x3*,"3vs3 + 3,5",https://drive.google.com/file/d/1tlMhtrJnOf8Cpy8BQU0KZuonKOvWTXHH/view?usp=sharing,,https://drive.google.com/file/d/1vidqI1lbaQxgD7jpa-juPW33FSuE1RQf/view?usp=sharing,"Posesión 3vs3 en 2 rectángulos contiguos con 6 comodines exteriores y un interior que se van desplazando para ir generando la superioridad.        
        "
Juego de conservación,Mantener / Evitar Mantener,5x3,5vs3 con robo y disparo o mantenimiento,https://drive.google.com/file/d/1qolDzuLfe7ba80zufchNhycXRrF69Pv4/view?usp=sharing,,https://drive.google.com/file/d/1CiWHLE5oRZ4Qkx8z4ZDHnZEkeDHJl-SD/view?usp=sharing,"Un grupo de 5 jugadores mantiene la posesión de balón ante un grupo de 3 jugadores.
Si los que defienden roban el balón, pueden anotar en las miniporterías de su rectángulo o mandar la pelota al rectángulo contiguo para iniciar allí una posesión de balón (se trasladan los jugadores del equipo con balón para hacer la superioridad y jugadores del equipo que la ha perdido, para presionar)."
Situación de partido,Progresión juego interior Z 2-3,6x4,6vs4 con robo y disparo a portería grande o mantenimiento,https://drive.google.com/file/d/1QDXBfd6oWYN7bqyhJ29BlS01XR3-Spco/view?usp=sharing,,https://drive.google.com/file/d/1n0Y8Zpyx3be0IwpVxgge-iElrOW359yv/view?usp=sharing,"Un grupo de 6 jugadores inicia una posesión de balón ante un grupo de 4 jugadores.
En el rectángulo contiguo, estarán esperando otros 2 jugadores del equipo defensivo.
Si los atacantes consiguen progresar a ese rectángulo, se enfrentarán a los 2 jugadores que esperaban más  los otros que regresarán y tendrán que intentar atravesar su base mediante una conducción o un pase para posteriormente finalizar en la portería grande.
Si los que defienden roban el balón en el rectángulo más cercano a la portería rival, pueden o finalizar ahí o enviar la pelota al rectángulo de atrás para iniciar ellos la posesión. Si se roba en el rectángulo más alejado a la portería rival, se inicia la posesión ahí.     
        "
